汕头市	2014-04-01	60	37-105	良	37.8	52.6	9.2	1.13	18.3	69
汕尾市	2014-04-01	60	43-124	良	43.1	48.1	7.9	1.54	16.4	48.6
江门市	2014-04-01	69	46-94	良	49.4	70.3	33	1.608	56.6	13.4
江阴市	2014-04-01	97	66-169	良	72.1	80.4	59.7	1.049	45.6	68.6
沈阳市	2014-04-01	150	113-173	轻度污染	114	155.9	63.7	1.528	49.4	88.6
沧州市	2014-04-01	128	93-169	轻度污染	96.1	134.4	36.4	0.781	18.5	125.6
河源市	2014-04-01	50	36-85	优	25.9	40.2	19.4	1.234	22.1	59.9
泉州市	2014-04-01	47	33-63	优	20.3	48.2	6.1	0.879	20.1	54.2
泰安市	2014-04-01	109	89-150	轻度污染	81.3	136.4	69.2	1.335	73.3	51.2
泰州市	2014-04-01	75	63-87	良	54.1	88.8	19.3	1.19	9.4	63.6
泸州市	2014-04-01	52	44-63	良	36	51.3	36.3	0.946	35.5	47.6
洛阳市	2014-04-01	82	46-117	良	56.9	86.9	47.6	1.785	34.1	71
济南市	2014-04-01	112	98-137	轻度污染	70.1	172.7	42.7	0.837	48.2	114.5
济宁市	2014-04-01	99	72-121	良	65.9	128.1	70.1	1.358	37.8	118.6
海口市	2014-04-01	43	14-64	优	20.6	44.3	4.8	0.633	20.1	17.8
海门市	2014-04-01	68	54-83	良	43.2	61.6	13.4	0.615	17.5	98.5
淄博市	2014-04-01	155	112-206	中度污染	116.6	206.3	145.4	2.25	91.8	65.4
淮安市	2014-04-01	92	52-140	良	64.9	96.5	18.1	1.479	21	97.8
深圳市	2014-04-01	46	31-56	优	28.3	44.4	6.1	1.24	40.9	37.3
清远市	2014-04-01	56	23-96	良	38.8	49.7	21.6	1.64	13.6	45.2
温州市	2014-04-01	36	21-59	优	20.8	34.2	7.9	1.093	61.8	41.8
渭南市	2014-04-01	113	67-199	轻度污染	83.6	135.5	21.4	1.051	38.4	51.7
湖州市	2014-04-01	113	82-150	轻度污染	85.2	92	44.2	0.832	52.2	76.2
湘潭市	2014-04-01	75	57-100	良	52.5	92.4	35.6	0.928	43.4	74.8
湛江市	2014-04-01	53	20-84	良	37.5	44.4	8.2	1.073	19.2	57.4
溧阳市	2014-04-01	134	73-189	轻度污染	98.9	139.7	39.5	0.729	59	75.9
滨州市	2014-04-01	130	85-205	轻度污染	98	142.3	102.4	0.961	60.9	75.9
潍坊市	2014-04-01	112	84-151	轻度污染	70.9	169.9	74.9	1.425	47.5	104.7
潮州市	2014-04-01	97	50-144	良	72.5	49.2	17.8	1.907	30.6	44.2
烟台市	2014-04-01	67	55-82	良	32.8	82.9	27.2	0.654	59.8	72.5
